Sexo;Edad;Periodo;Total
Total;Todas las edades;2074;54.588.194,555989
Total;Todas las edades;2073;54.572.174,746164
Total;Todas las edades;2072;54.562.643,062856
Total;Todas las edades;2071;54.559.822,359944
Total;Todas las edades;2070;54.563.560,694023
Total;Todas las edades;2069;54.573.502,163393
Total;Todas las edades;2068;54.589.169,434671
Total;Todas las edades;2067;54.610.029,300133
Total;Todas las edades;2066;54.635.371,761116
Total;Todas las edades;2065;54.664.563,790565
Total;Todas las edades;2064;54.696.807,082427
Total;Todas las edades;2063;54.731.022,670687
Total;Todas las edades;2062;54.766.948,291237
Total;Todas las edades;2061;54.803.566,193232
Total;Todas las edades;2060;54.839.724,219452
Total;Todas las edades;2059;54.874.043,937641
Total;Todas las edades;2058;54.905.146,721014
Total;Todas las edades;2057;54.931.606,215028
Total;Todas las edades;2056;54.951.979,07711
Total;Todas las edades;2055;54.965.070,492635
Total;Todas las edades;2054;54.969.675,360164
Total;Todas las edades;2053;54.964.800,11413
Total;Todas las edades;2052;54.949.479,459534
Total;Todas las edades;2051;54.922.923,972898
Total;Todas las edades;2050;54.884.720,667167
Total;Todas las edades;2049;54.834.632,321295
Total;Todas las edades;2048;54.772.439,749693
Total;Todas las edades;2047;54.698.022,842486
Total;Todas las edades;2046;54.611.884,718333
Total;Todas las edades;2045;54.514.657,984427
Total;Todas las edades;2044;54.406.914,925128
Total;Todas las edades;2043;54.289.581,263417
Total;Todas las edades;2042;54.164.023,119581
Total;Todas las edades;2041;54.031.401,317441
Total;Todas las edades;2040;53.892.708,631179
Total;Todas las edades;2039;53.747.904,894293
Total;Todas las edades;2038;53.597.525,129538
Total;Todas las edades;2037;53.442.607,602498
Total;Todas las edades;2036;53.281.138,523991
Total;Todas las edades;2035;53.109.717,711908
Total;Todas las edades;2034;52.923.576,384872
Total;Todas las edades;2033;52.716.064,315197
Total;Todas las edades;2032;52.478.912,999872
Total;Todas las edades;2031;52.202.438,723784
Total;Todas las edades;2030;51.876.063,854919
Total;Todas las edades;2029;51.489.372,571964
Total;Todas las edades;2028;51.033.947,885234
Total;Todas las edades;2027;50.506.066,277745
Total;Todas las edades;2026;49.910.256,365085
Total;Todas las edades;2025;49.265.049,133149
Total;Todas las edades;2024;48.610.458
Total;0 años;2074;405.912,619408
Total;0 años;2073;403.826,157148
Total;0 años;2072;401.473,424704
Total;0 años;2071;398.873,618287
Total;0 años;2070;396.058,756134
Total;0 años;2069;393.067,825981
Total;0 años;2068;389.942,5105
Total;0 años;2067;386.733,316025
Total;0 años;2066;383.495,379224
Total;0 años;2065;380.299,550014
Total;0 años;2064;377.229,966785
Total;0 años;2063;374.383,185678
Total;0 años;2062;371.865,362836
Total;0 años;2061;369.792,026091
Total;0 años;2060;368.285,753097
Total;0 años;2059;367.452,029374
Total;0 años;2058;367.345,040516
Total;0 años;2057;367.986,204912
Total;0 años;2056;369.381,718482
Total;0 años;2055;371.495,04074
Total;0 años;2054;374.261,773582
Total;0 años;2053;377.578,545672
Total;0 años;2052;381.302,496492
Total;0 años;2051;385.293,314821
Total;0 años;2050;389.409,001565
Total;0 años;2049;393.491,867832
Total;0 años;2048;397.375,94008
Total;0 años;2047;400.882,691311
Total;0 años;2046;403.875,030868
Total;0 años;2045;406.238,948236
Total;0 años;2044;407.846,857261
Total;0 años;2043;408.641,566543
Total;0 años;2042;408.613,87627
Total;0 años;2041;407.762,32553
Total;0 años;2040;406.158,974719
Total;0 años;2039;403.928,585671
Total;0 años;2038;399.294,530145
Total;0 años;2037;394.306,025051
Total;0 años;2036;389.126,125556
Total;0 años;2035;383.913,180849
Total;0 años;2034;378.770,089163
Total;0 años;2033;373.697,10388
Total;0 años;2032;368.643,818959
Total;0 años;2031;363.524,233313
Total;0 años;2030;358.204,562397
Total;0 años;2029;352.557,847884
Total;0 años;2028;346.500,388819
Total;0 años;2027;340.035,492713
Total;0 años;2026;333.335,95581
Total;0 años;2025;326.808,003036
Total;0 años;2024;322.602
Total;1 año;2074;407.475,452718
Total;1 año;2073;405.136,662237
Total;1 año;2072;402.557,653793
Total;1 año;2071;399.766,568364
Total;1 año;2070;396.800,393957
Total;1 año;2069;393.700,025182
Total;1 año;2068;390.515,962106
Total;1 año;2067;387.303,475471
Total;1 año;2066;384.133,588605
Total;1 año;2065;381.090,2777
Total;1 año;2064;378.269,547302
Total;1 año;2063;375.776,387944
Total;1 año;2062;373.725,406554
Total;1 año;2061;372.237,807035
Total;1 año;2060;371.417,682792
Total;1 año;2059;371.318,525276
Total;1 año;2058;371.961,292253
Total;1 año;2057;373.352,158373
Total;1 año;2056;375.455,07378
Total;1 año;2055;378.206,467078
Total;1 año;2054;381.504,220025
Total;1 año;2053;385.206,848121
Total;1 año;2052;389.175,464324
Total;1 año;2051;393.269,057183
Total;1 año;2050;397.330,96395
Total;1 año;2049;401.195,993244
Total;1 año;2048;404.686,258205
Total;1 año;2047;407.664,81947
Total;1 año;2046;410.017,603983
Total;1 año;2045;411.617,08311
Total;1 año;2044;412.405,931545
Total;1 año;2043;412.374,885258
Total;1 año;2042;411.523,315205
Total;1 año;2041;409.924,675125
Total;1 año;2040;407.706,200619
Total;1 año;2039;403.107,707471
Total;1 año;2038;398.172,256791
Total;1 año;2037;393.071,090534
Total;1 año;2036;387.972,515981
Total;1 año;2035;382.991,04763
Total;1 año;2034;378.139,785458
Total;1 año;2033;373.380,786279
Total;1 año;2032;368.637,968333
Total;1 año;2031;363.782,549158
Total;1 año;2030;358.683,658614
Total;1 año;2029;353.239,925588
Total;1 año;2028;347.417,081828
Total;1 año;2027;341.322,751953
Total;1 año;2026;335.262,09445
Total;1 año;2025;331.289,749319
Total;1 año;2024;329.790
Total;2 años;2074;408.823,537872
Total;2 años;2073;406.261,550145
Total;2 años;2072;403.493,637316
Total;2 años;2071;400.553,176608
Total;2 años;2070;397.479,156021
Total;2 años;2069;394.321,217806
Total;2 años;2068;391.134,555994
Total;2 años;2067;387.990,159032
Total;2 años;2066;384.972,049848
Total;2 años;2065;382.175,978448
Total;2 años;2064;379.706,342836
Total;2 años;2063;377.676,762601
Total;2 años;2062;376.207,32757
Total;2 años;2061;375.400,986597
Total;2 años;2060;375.310,348384
Total;2 años;2059;375.956,003856
Total;2 años;2058;377.343,824173
Total;2 años;2057;379.438,098044
Total;2 años;2056;382.175,945193
Total;2 años;2055;385.456,330919
Total;2 años;2054;389.139,25479
Total;2 años;2053;393.087,087549
Total;2 años;2052;397.160,165514
Total;2 años;2051;401.202,850589
Total;2 años;2050;405.050,961741
Total;2 años;2049;408.527,418934
Total;2 años;2048;411.495,566703
Total;2 años;2047;413.841,288707
Total;2 años;2046;415.437,045019
Total;2 años;2045;416.225,033926
Total;2 años;2044;416.195,496899
Total;2 años;2043;415.347,672179
Total;2 años;2042;413.755,276894
Total;2 años;2041;411.546,563503
Total;2 años;2040;406.975,721988
Total;2 años;2039;402.077,70566
Total;2 años;2038;397.029,948101
Total;2 años;2037;392.008,937283
Total;2 años;2036;387.139,425117
Total;2 años;2035;382.446,676136
Total;2 años;2034;377.905,80358
Total;2 años;2033;373.453,318989
Total;2 años;2032;368.970,631583
Total;2 años;2031;364.331,852454
Total;2 años;2030;359.431,493663
Total;2 años;2029;354.217,136219
Total;2 años;2028;348.757,704375
Total;2 años;2027;343.291,456928
Total;2 años;2026;339.819,532081
Total;2 años;2025;338.614,91293
Total;2 años;2024;350.541
Total;3 años;2074;409.816,898678
Total;3 años;2073;407.070,143213
Total;3 años;2072;404.155,681771
Total;3 años;2071;401.109,719591
Total;3 años;2070;397.980,218475
Total;3 años;2069;394.821,497722
Total;3 años;2068;391.704,227754
Total;3 años;2067;388.712,158826
Total;3 años;2066;385.940,889542
Total;3 años;2065;383.494,438938
Total;3 años;2064;381.485,751724
Total;3 años;2063;380.033,933066
Total;3 años;2062;379.241,016058
Total;3 años;2061;379.158,981885
Total;3 años;2060;379.807,886346
Total;3 años;2059;381.193,416868
Total;3 años;2058;383.279,940099
Total;3 años;2057;386.005,14305
Total;3 años;2056;389.268,961821
Total;3 años;2055;392.932,732551
Total;3 años;2054;396.860,211389
Total;3 años;2053;400.912,924198
Total;3 años;2052;404.936,633702
Total;3 años;2051;408.768,19356
Total;3 años;2050;412.231,598847
Total;3 años;2049;415.190,695913
Total;3 años;2048;417.531,503887
Total;3 años;2047;419.126,568124
Total;3 años;2046;419.917,597442
Total;3 años;2045;419.894,023801
Total;3 años;2044;419.054,503798
Total;3 años;2043;417.472,048916
Total;3 años;2042;415.274,679174
Total;3 años;2041;410.729,664492
Total;3 años;2040;405.861,458408
Total;3 años;2039;400.851,214809
Total;3 años;2038;395.881,285051
Total;3 años;2037;391.084,543094
Total;3 años;2036;386.496,695068
Total;3 años;2035;382.104,923568
Total;3 años;2034;377.858,697576
Total;3 años;2033;373.652,178682
Total;3 años;2032;369.369,764214
Total;3 años;2031;364.911,189766
Total;3 años;2030;360.220,362728
Total;3 años;2029;355.348,506208
Total;3 años;2028;350.495,856008
Total;3 años;2027;347.652,535274
Total;3 años;2026;347.021,443603
Total;3 años;2025;358.754,155427
Total;3 años;2024;356.878
Total;4 años;2074;410.714,442397
Total;4 años;2073;407.821,448607
Total;4 años;2072;404.801,351419
Total;4 años;2071;401.699,27736
Total;4 años;2070;398.567,821539
Total;4 años;2069;395.476,634209
Total;4 años;2068;392.509,038809
Total;4 años;2067;389.760,289089
Total;4 años;2066;387.334,221443
Total;4 años;2065;385.343,381881
Total;4 años;2064;383.906,216186
Total;4 años;2063;383.124,004034
Total;4 años;2062;383.048,30396
Total;4 años;2061;383.698,857449
Total;4 años;2060;385.080,96812
Total;4 años;2059;387.159,173532
Total;4 años;2058;389.871,441829
Total;4 años;2057;393.118,53747
Total;4 años;2056;396.762,996071
Total;4 años;2055;400.669,784412
Total;4 años;2054;404.701,726899
Total;4 años;2053;408.705,798441
Total;4 años;2052;412.520,222358
Total;4 años;2051;415.970,044602
Total;4 años;2050;418.919,82025
Total;4 años;2049;421.255,871843
Total;4 años;2048;422.850,945151
Total;4 años;2047;423.646,316909
Total;4 años;2046;423.630,576604
Total;4 años;2045;422.801,485272
Total;4 años;2044;421.230,929509
Total;4 años;2043;419.045,801033
Total;4 años;2042;414.525,087998
Total;4 años;2041;409.681,488575
Total;4 años;2040;404.698,056514
Total;4 años;2039;399.760,761689
Total;4 años;2038;395.008,513946
Total;4 años;2037;390.485,566342
Total;4 años;2036;386.189,635922
Total;4 años;2035;382.082,303196
Total;4 años;2034;378.070,906741
Total;4 años;2033;374.052,664742
Total;4 años;2032;369.937,75765
Total;4 años;2031;365.675,65955
Total;4 años;2030;361.314,369964
Total;4 años;2029;357.037,340941
Total;4 años;2028;354.855,105414
Total;4 años;2027;354.934,551613
Total;4 años;2026;366.771,706539
Total;4 años;2025;365.103,740509
Total;4 años;2024;377.691
Total;5 años;2074;411.629,566886
Total;5 años;2073;408.629,20103
Total;5 años;2072;405.551,134564
Total;5 años;2071;402.444,777046
Total;5 años;2070;399.377,796745
Total;5 años;2069;396.432,388535
Total;5 años;2068;393.703,34624
Total;5 años;2067;391.294,196895
Total;5 años;2066;389.317,335155
Total;5 años;2065;387.890,865288
Total;5 años;2064;387.115,647548
Total;5 años;2063;387.042,977597
Total;5 años;2062;387.692,454453
Total;5 años;2061;389.069,186494
Total;5 años;2060;391.137,65377
Total;5 años;2059;393.836,164942
Total;5 años;2058;397.066,001762
Total;5 años;2057;400.690,731926
Total;5 años;2056;404.576,383608
Total;5 años;2055;408.586,895376
Total;5 años;2054;412.570,548533
Total;5 años;2053;416.366,736638
Total;5 años;2052;419.801,863746
Total;5 años;2051;422.741,170309
Total;5 años;2050;425.071,477218
Total;5 años;2049;426.665,884355
Total;5 años;2048;427.465,350605
Total;5 años;2047;427.457,693526
Total;5 años;2046;426.639,743908
Total;5 años;2045;425.081,970316
Total;5 años;2044;422.909,757745
Total;5 años;2043;418.412,385225
Total;5 años;2042;413.590,227257
Total;5 años;2041;408.626,753862
Total;5 años;2040;403.709,758808
Total;5 años;2039;398.981,966685
Total;5 años;2038;394.494,082694
Total;5 años;2037;390.252,454971
Total;5 años;2036;386.229,231355
Total;5 años;2035;382.344,058588
Total;5 años;2034;378.507,382735
Total;5 años;2033;374.642,354743
Total;5 años;2032;370.709,294448
Total;5 años;2031;366.762,414445
Total;5 años;2030;362.983,298023
Total;5 años;2029;361.424,677678
Total;5 años;2028;362.244,597875
Total;5 años;2027;374.345,55421
Total;5 años;2026;373.189,186941
Total;5 años;2025;385.879,191311
Total;5 años;2024;397.269
Total;6 años;2074;412.646,794483
Total;6 años;2073;409.585,244503
Total;6 años;2072;406.499,840932
Total;6 años;2071;403.454,390246
Total;6 años;2070;400.528,808608
Total;6 años;2069;397.816,684561
Total;6 años;2068;395.421,134791
Total;6 años;2067;393.454,336068
Total;6 años;2066;392.034,344751
Total;6 años;2065;391.261,948513
Total;6 años;2064;391.188,497611
Total;6 años;2063;391.833,606179
Total;6 años;2062;393.202,328997
Total;6 años;2061;395.259,226987
Total;6 años;2060;397.942,694397
Total;6 años;2059;401.154,543903
Total;6 años;2058;404.759,036554
Total;6 años;2057;408.623,0848
Total;6 años;2056;412.611,584849
Total;6 años;2055;416.573,932166
Total;6 años;2054;420.350,775015
Total;6 años;2053;423.769,674429
Total;6 años;2052;426.696,864924
Total;6 años;2051;429.019,658112
Total;6 años;2050;430.611,691238
Total;6 años;2049;431.413,784789
Total;6 años;2048;431.413,115477
Total;6 años;2047;430.605,66191
Total;6 años;2046;429.060,464727
Total;6 años;2045;426.901,137219
Total;6 años;2044;422.426,166421
Total;6 años;2043;417.623,460377
Total;6 años;2042;412.675,803636
Total;6 años;2041;407.771,353421
Total;6 años;2040;403.054,880129
Total;6 años;2039;398.581,350968
Total;6 años;2038;394.363,696898
Total;6 años;2037;390.382,786326
Total;6 años;2036;386.569,091392
Total;6 años;2035;382.845,503562
Total;6 años;2034;379.148,633371
Total;6 años;2033;375.452,230049
Total;6 años;2032;371.822,065072
Total;6 años;2031;368.447,324985
Total;6 años;2030;367.434,668357
Total;6 años;2029;368.951,924145
Total;6 años;2028;381.379,449527
Total;6 años;2027;380.880,046489
Total;6 años;2026;393.993,957225
Total;6 años;2025;405.369,629123
Total;6 años;2024;423.976
Total;7 años;2074;413.788,103461
Total;7 años;2073;410.715,573605
Total;7 años;2072;407.687,52106
Total;7 años;2071;404.779,375721
Total;7 años;2070;402.082,188564
Total;7 años;2069;399.697,842107
Total;7 años;2068;397.738,163568
Total;7 años;2067;396.321,110841
Total;7 años;2066;395.547,693084
Total;7 años;2065;395.469,653026
Total;7 años;2064;396.106,92426
Total;7 años;2063;397.464,673902
Total;7 años;2062;399.507,664761
Total;7 años;2061;402.174,490901
Total;7 años;2060;405.367,23132
Total;7 años;2059;408.950,828843
Total;7 años;2058;412.792,753721
Total;7 años;2057;416.758,686578
Total;7 años;2056;420.698,978355
Total;7 años;2055;424.455,344811
Total;7 años;2054;427.856,583991
Total;7 años;2053;430.769,753758
Total;7 años;2052;433.082,968927
Total;7 años;2051;434.670,407234
Total;7 años;2050;435.472,968369
Total;7 años;2049;435.477,397813
Total;7 años;2048;434.678,968125
Total;7 años;2047;433.145,407604
Total;7 años;2046;430.998,567279
Total;7 años;2045;426.545,23084
Total;7 años;2044;421.761,11595
Total;7 años;2043;416.827,441526
Total;7 años;2042;411.931,614183
Total;7 años;2041;407.218,949517
Total;7 años;2040;402.746,86141
Total;7 años;2039;398.532,664862
Total;7 años;2038;394.563,892432
Total;7 años;2037;390.779,973392
Total;7 años;2036;387.114,766166
Total;7 años;2035;383.517,573478
Total;7 años;2034;379.976,063333
Total;7 años;2033;376.570,126383
Total;7 años;2032;373.501,826435
Total;7 años;2031;372.936,397057
Total;7 años;2030;375.063,042327
Total;7 años;2029;387.809,348437
Total;7 años;2028;387.996,350503
Total;7 años;2027;401.687,36537
Total;7 años;2026;413.395,455617
Total;7 años;2025;431.934,909903
Total;7 años;2024;446.720
Total;8 años;2074;415.071,493561
Total;8 años;2073;412.052,392338
Total;8 años;2072;409.157,743101
Total;8 años;2071;406.473,554062
Total;8 años;2070;404.098,970642
Total;8 años;2069;402.144,570656
Total;8 años;2068;400.728,04928
Total;8 años;2067;399.950,587143
Total;8 años;2066;399.864,598015
Total;8 años;2065;400.490,675423
Total;8 años;2064;401.834,407977
Total;8 años;2063;403.860,912881
Total;8 años;2062;406.509,102719
Total;8 años;2061;409.681,415498
Total;8 años;2060;413.243,207455
Total;8 años;2059;417.062,493431
Total;8 años;2058;421.005,422367
Total;8 años;2057;424.923,125059
Total;8 años;2056;428.658,226124
Total;8 años;2055;432.040,575671
Total;8 años;2054;434.938,147709
Total;8 años;2053;437.239,706992
Total;8 años;2052;438.820,27349
Total;8 años;2051;439.620,867151
Total;8 años;2050;439.628,041852
Total;8 años;2049;438.836,586384
Total;8 años;2048;437.313,102743
Total;8 años;2047;435.177,82002
Total;8 años;2046;430.745,228437
Total;8 años;2045;425.979,233918
Total;8 años;2044;421.059,091545
Total;8 años;2043;416.170,561192
Total;8 años;2042;411.458,362627
Total;8 años;2041;406.980,816106
Total;8 años;2040;402.757,788287
Total;8 años;2039;398.781,27936
Total;8 años;2038;394.997,606087
Total;8 años;2037;391.349,708277
Total;8 años;2036;387.798,084518
Total;8 años;2035;384.343,519079
Total;8 años;2034;381.080,438807
Total;8 años;2033;378.226,185207
Total;8 años;2032;378.004,622904
Total;8 años;2031;380.632,473198
Total;8 años;2030;393.646,576898
Total;8 años;2029;394.474,173191
Total;8 años;2028;408.776,54623
Total;8 años;2027;420.983,770462
Total;8 años;2026;439.816,682113
Total;8 años;2025;454.576,994222
Total;8 años;2024;459.079
Total;9 años;2074;416.493,809622
Total;9 años;2073;413.604,526709
Total;9 años;2072;410.930,029826
Total;9 años;2071;408.564,088699
Total;9 años;2070;406.614,424109
Total;9 años;2069;405.197,499536
Total;9 años;2068;404.414,445723
Total;9 años;2067;404.318,264129
Total;9 años;2066;404.930,46782
Total;9 años;2065;406.257,409639
Total;9 años;2064;408.264,870208
Total;9 años;2063;410.892,23514
Total;9 años;2062;414.042,428997
Total;9 años;2061;417.581,317016
Total;9 años;2060;421.377,222805
Total;9 años;2059;425.296,763373
Total;9 años;2058;429.191,550547
Total;9 años;2057;432.904,952882
Total;9 años;2056;436.267,718823
Total;9 años;2055;439.148,5748
Total;9 años;2054;441.437,028816
Total;9 años;2053;443.008,790854
Total;9 años;2052;443.805,316392
Total;9 años;2051;443.813,02685
Total;9 años;2050;443.026,471478
Total;9 años;2049;441.511,375062
Total;9 años;2048;439.386,55602
Total;9 años;2047;434.973,906288
Total;9 años;2046;430.226,002185
Total;9 años;2045;425.319,894642
Total;9 años;2044;420.439,275532
Total;9 años;2043;415.727,341897
Total;9 años;2042;411.242,138651
Total;9 años;2041;407.004,513305
Total;9 años;2040;403.009,071922
Total;9 años;2039;399.206,795741
Total;9 años;2038;395.547,605502
Total;9 años;2037;392.001,253265
Total;9 años;2036;388.580,068235
Total;9 años;2035;385.392,107608
Total;9 años;2034;382.670,227309
Total;9 años;2033;382.694,3598
Total;9 años;2032;385.710,986124
Total;9 años;2031;398.917,781223
Total;9 años;2030;400.296,716256
Total;9 años;2029;415.166,844037
Total;9 años;2028;427.913,743415
Total;9 años;2027;447.208,529168
Total;9 años;2026;462.303,030123
Total;9 años;2025;466.900,399837
Total;9 años;2024;467.748
Total;10 años;2074;418.065,803511
Total;10 años;2073;415.393,511497
Total;10 años;2072;413.033,616295
Total;10 años;2071;411.088,346572
Total;10 años;2070;409.671,293259
Total;10 años;2069;408.882,524036
Total;10 años;2068;408.775,357132
Total;10 años;2067;409.372,119087
Total;10 años;2066;410.680,170842
Total;10 años;2065;412.666,28905
Total;10 años;2064;415.270,644653
Total;10 años;2063;418.396,814336
Total;10 años;2062;421.911,31119
Total;10 años;2061;425.682,888135
Total;10 años;2060;429.578,426548
Total;10 años;2059;433.450,035728
Total;10 años;2058;437.141,553274
Total;10 años;2057;440.484,475508
Total;10 años;2056;443.348,144587
Total;10 años;2055;445.622,65647
Total;10 años;2054;447.184,494215
Total;10 años;2053;447.975,409461
Total;10 años;2052;447.982,002565
Total;10 años;2051;447.198,640615
Total;10 años;2050;445.690,42686
Total;10 años;2049;443.575,024771
Total;10 años;2048;439.181,66653
Total;10 años;2047;434.452,031375
Total;10 años;2046;429.560,987196
Total;10 años;2045;424.689,915033
Total;10 años;2044;419.980,043939
Total;10 años;2043;415.488,186813
Total;10 años;2042;411.234,979441
Total;10 años;2041;407.216,047744
Total;10 años;2040;403.385,153347
Total;10 años;2039;399.696,963562
Total;10 años;2038;396.128,354401
Total;10 años;2037;392.701,192447
Total;10 años;2036;389.535,500095
Total;10 años;2035;386.878,585514
Total;10 años;2034;387.062,393205
Total;10 años;2033;390.362,967011
Total;10 años;2032;403.679,228681
Total;10 años;2031;405.501,970996
Total;10 años;2030;420.853,228299
Total;10 años;2029;434.101,269012
Total;10 años;2028;453.897,405397
Total;10 años;2027;469.488,195308
Total;10 años;2026;474.527,112201
Total;10 años;2025;475.538,728708
Total;10 años;2024;463.415
Total;11 años;2074;419.870,291183
Total;11 años;2073;417.509,032285
Total;11 años;2072;415.565,747194
Total;11 años;2071;414.148,455167
Total;11 años;2070;413.354,483561
Total;11 años;2069;413.236,435972
Total;11 años;2068;413.817,177101
Total;11 años;2067;415.104,977535
Total;11 años;2066;417.067,846976
Total;11 años;2065;419.647,070669
Total;11 años;2064;422.747,174876
Total;11 años;2063;426.235,46917
Total;11 años;2062;429.981,287044
Total;11 años;2061;433.851,892825
Total;11 años;2060;437.699,694081
Total;11 años;2059;441.369,014131
Total;11 años;2058;444.691,829323
Total;11 años;2057;447.537,959164
Total;11 años;2056;449.797,95565
Total;11 años;2055;451.348,921221
Total;11 años;2054;452.132,993328
Total;11 años;2053;452.136,820506
Total;11 años;2052;451.354,896141
Total;11 años;2051;449.851,772475
Total;11 años;2050;447.744,223268
Total;11 años;2049;443.368,818136
Total;11 años;2048;438.656,836191
Total;11 años;2047;433.781,112315
Total;11 años;2046;428.920,738705
Total;11 años;2045;424.214,732143
Total;11 años;2044;419.718,217073
Total;11 años;2043;415.450,668228
Total;11 años;2042;411.407,543728
Total;11 años;2041;407.543,815885
Total;11 años;2040;403.817,040542
Total;11 años;2039;400.209,020454
Total;11 años;2038;396.749,052317
Total;11 años;2037;393.567,106942
Total;11 años;2036;390.923,226108
Total;11 años;2035;391.196,968302
Total;11 años;2034;394.692,096019
Total;11 años;2033;408.039,772
Total;11 años;2032;410.199,515784
Total;11 años;2031;425.930,502875
Total;11 años;2030;439.601,356252
Total;11 años;2029;459.863,308828
Total;11 años;2028;475.987,259143
Total;11 años;2027;481.620,696132
Total;11 años;2026;483.134,0839
Total;11 años;2025;471.339,461579
Total;11 años;2024;489.464
Total;12 años;2074;422.050,043774
Total;12 años;2073;420.101,180706
Total;12 años;2072;418.681,34085
Total;12 años;2071;417.882,221425
Total;12 años;2070;417.753,945202
Total;12 años;2069;418.318,86571
Total;12 años;2068;419.585,900846
Total;12 años;2067;421.524,21425
Total;12 años;2066;424.076,454056
Total;12 años;2065;427.148,428278
Total;12 años;2064;430.608,544819
Total;12 años;2063;434.326,854962
Total;12 años;2062;438.171,144001
Total;12 años;2061;441.994,221684
Total;12 años;2060;445.640,693407
Total;12 años;2059;448.943,02259
Total;12 años;2058;451.771,247643
Total;12 años;2057;454.016,24306
Total;12 años;2056;455.555,598063
Total;12 años;2055;456.331,699894
Total;12 años;2054;456.331,3435
Total;12 años;2053;455.549,027797
Total;12 años;2052;454.049,076322
Total;12 años;2051;451.947,459724
Total;12 años;2050;447.588,081758
Total;12 años;2049;442.892,362418
Total;12 años;2048;438.031,344814
Total;12 años;2047;433.181,975367
Total;12 años;2046;428.481,067627
Total;12 años;2045;423.981,80012
Total;12 años;2044;419.702,013235
Total;12 años;2043;415.636,060055
Total;12 años;2042;411.738,962693
Total;12 años;2041;407.969,643219
Total;12 años;2040;404.313,041228
Total;12 años;2039;400.803,779345
Total;12 años;2038;397.579,765404
Total;12 años;2037;394.911,827151
Total;12 años;2036;395.222,912553
Total;12 años;2035;398.841,984318
Total;12 años;2034;412.156,313667
Total;12 años;2033;414.559,114382
Total;12 años;2032;430.573,044717
Total;12 años;2031;444.577,557245
Total;12 años;2030;465.236,396667
Total;12 años;2029;481.862,460023
Total;12 años;2028;488.126,031378
Total;12 años;2027;490.294,208666
Total;12 años;2026;479.151,644861
Total;12 años;2025;497.431,88
Total;12 años;2024;501.419
Total;13 años;2074;424.820,317559
Total;13 años;2073;423.389,735954
Total;13 años;2072;422.583,07972
Total;13 años;2071;422.444,679647
Total;13 años;2070;422.994,427227
Total;13 años;2069;424.240,794156
Total;13 años;2068;426.153,849014
Total;13 años;2067;428.677,567206
Total;13 años;2066;431.719,318661
Total;13 años;2065;435.148,96186
Total;13 años;2064;438.837,572304
Total;13 años;2063;442.653,584498
Total;13 años;2062;446.450,338839
Total;13 años;2061;450.072,802034
Total;13 años;2060;453.353,702791
Total;13 años;2059;456.163,29352
Total;13 años;2058;458.392,509562
Total;13 años;2057;459.919,286649
Total;13 años;2056;460.686,142779
Total;13 años;2055;460.679,901651
Total;13 años;2054;459.895,177387
Total;13 años;2053;458.395,97493
Total;13 años;2052;456.297,806389
Total;13 años;2051;451.951,719751
Total;13 años;2050;447.269,859759
Total;13 años;2049;442.421,7482
Total;13 años;2048;437.582,42656
Total;13 años;2047;432.886,623659
Total;13 años;2046;428.385,545719
Total;13 años;2045;424.095,118456
Total;13 años;2044;420.008,09694
Total;13 años;2043;416.078,609536
Total;13 años;2042;412.265,80993
Total;13 años;2041;408.556,313207
Total;13 años;2040;404.988,375691
Total;13 años;2039;401.705,880098
Total;13 años;2038;398.988,585783
Total;13 años;2037;399.299,047051
Total;13 años;2036;402.988,812683
Total;13 años;2035;416.219,730045
Total;13 años;2034;418.788,873582
Total;13 años;2033;435.002,648199
Total;13 años;2032;449.257,22029
Total;13 años;2031;470.236,496995
Total;13 años;2030;487.304,998674
Total;13 años;2029;494.173,10968
Total;13 años;2028;497.040,496788
Total;13 años;2027;486.702,177335
Total;13 años;2026;505.480,496292
Total;13 años;2025;509.722,248913
Total;13 años;2024;512.627
Total;14 años;2074;428.445,671384
Total;14 años;2073;427.622,191338
Total;14 años;2072;427.471,072572
Total;14 años;2071;428.005,782829
Total;14 años;2070;429.232,095641
Total;14 años;2069;431.119,789613
Total;14 años;2068;433.613,92747
Total;14 años;2067;436.623,460476
Total;14 años;2066;440.020,031958
Total;14 años;2065;443.676,146529
Total;14 años;2064;447.461,230433
Total;14 años;2063;451.229,272729
Total;14 años;2062;454.825,722858
Total;14 años;2061;458.083,626045
Total;14 años;2060;460.873,213065
Total;14 años;2059;463.085,450866
Total;14 años;2058;464.598,341112
Total;14 años;2057;465.354,393429
Total;14 años;2056;465.340,347226
Total;14 años;2055;464.550,824676
Total;14 años;2054;463.049,647965
Total;14 años;2053;460.951,813669
Total;14 años;2052;456.615,585605
Total;14 años;2051;451.944,26704
Total;14 años;2050;447.106,159104
Total;14 años;2049;442.274,672297
Total;14 años;2048;437.582,676399
Total;14 años;2047;433.079,481024
Total;14 años;2046;428.779,024114
Total;14 años;2045;424.672,138713
Total;14 años;2044;420.711,512598
Total;14 años;2043;416.855,538325
Total;14 años;2042;413.091,401784
Total;14 años;2041;409.459,575141
Total;14 años;2040;406.108,318819
Total;14 años;2039;403.324,507866
Total;14 años;2038;403.607,198086
Total;14 años;2037;407.328,107691
Total;14 años;2036;420.437,198846
Total;14 años;2035;423.111,845203
Total;14 años;2034;439.457,273645
Total;14 años;2033;453.889,448133
Total;14 años;2032;475.117,286662
Total;14 años;2031;492.561,629535
Total;14 años;2030;499.982,856857
